sector,epc,hpr,lat,long
DE22 2,60.2,0.87,-1.4926103496932517,52.949854546012254
DE23 8,57.9,0.73,-1.4771860989761083,52.90367380887366
DE23 1,60.7,0.87,-1.498534357575757,52.89293592121216
DE1 3,66.5,0.86,-1.480329122270741,52.92820695196504
DE21 6,60.5,0.84,-1.439645380530974,52.92632342182892
DE1 2,67.5,0.89,-1.471208931428572,52.91828233714284
DE23 3,72.1,1.03,-1.5236541696969697,52.89343525454541
DE22 4,61.8,0.87,-1.5244983932038834,52.926918582524266
DE24 0,62.2,0.87,-1.425319383606558,52.890371986885285
DE22 3,62.5,0.81,-1.4973659283667624,52.919323693409744
DE22 1,61.9,0.83,-1.4855575776397507,52.93833717391308
DE73 5,68.9,0.97,-1.4452861809523805,52.86942314285715
DE24 8,59.7,0.82,-1.4495110461095106,52.90002147838618
DE21 4,63.6,0.89,-1.446410634146342,52.93890204878047
DE23 6,56.3,0.73,-1.494241386503066,52.90735955214723
DE73 6,69.1,0.99,-1.4338026275862072,52.87035330344827
DE3 9,65.2,0.93,-1.5340818571428576,52.9109543596059
DE21 7,63.3,0.89,-1.4035971750841745,52.91860714141415
DE24 9,64.2,0.9,-1.46681282264151,52.8832726037736
DE21 2,64.8,0.98,-1.4305372404580152,52.94492185114505
DE23 2,63.7,0.93,-1.5071090333333332,52.88864075000001
DE24 3,72.4,1.03,-1.4988434883720931,52.874770215116285
DE1 1,64.8,0.86,-1.4846028157894746,52.9213948631579
DE3 0,66.2,0.94,-1.5507284369747905,52.9092665882353
DE24 1,75.1,1.03,-1.4453450666666663,52.907407600000006
DE24 5,83.9,1.16,-1.4113086792452834,52.88044679245283
DE23 4,63.3,0.92,-1.53079112,52.89777972
DN22 4,78.4,1.14,nan,nan
DE73 7,84.4,1.18,-1.4736130235294118,52.83834407058824
DE6 4,39.0,0.48,-1.5714583953488372,52.95586988372092
DE73 8,76.8,1.17,-1.4206327377049182,52.81975494535516
DE74 2,84.3,1.18,-1.3249102392638044,52.83888525460124
DE22 5,51.0,0.67,-1.5150186923076918,52.96608330769231
N1C 4,86.5,1.05,-0.1260147466666666,51.5367038
DE2 0,46.0,0.78,nan,nan
DE3 6,85.0,1.15,nan,nan
DE73 0,83.3,1.18,nan,nan
DE2 2,85.0,1.18,nan,nan
DE22 6,86.0,1.18,nan,nan
DE21 1,64.0,0.98,nan,nan
