outcode,epc,hpr,lat,long
RG14,67.0,0.93,51.3994972,-1.3231202
RG19,67.8,0.96,51.3912084,-1.2443747
RG18,62.3,0.91,51.4314131,-1.2602125
RG7,60.0,0.9,51.3976703,-1.0774783
RG8,59.0,0.86,51.5062415,-1.1063426
RG17,59.5,0.88,51.4435994,-1.5030377
RG31,65.3,0.93,51.4566563,-1.0456059
RG20,54.0,0.87,51.4036907,-1.3378722
RG30,68.1,0.96,51.4511542,-1.0147746
OX12,47.5,0.78,51.5964061,-1.425191
RG26,71.2,0.99,51.3401022,-1.1297305
RG08,79.0,1.11,nan,nan
SN8,42.4,0.69,51.4063157,-1.6857426
