postcode,epc,hpr
RG14 1ES,62.9,0.84
RG19 8FT,85.0,1.18
RG14 2PT,61.6,0.89
RG18 4EN,69.3,0.99
RG7 6LS,51.2,0.83
RG18 3BW,65.6,0.92
RG8 8DR,64.0,0.96
RG19 4RE,76.3,1.04
RG17 9AB,64.3,1.04
RG14 5BZ,82.9,1.05
RG14 7PH,62.0,0.91
RG14 6BA,60.8,0.85
RG31 4XL,57.8,0.74
RG14 2LH,66.1,0.95
RG19 3YW,66.7,0.96
RG19 4RU,76.1,1.05
RG31 7DL,64.0,0.97
RG14 1HG,55.4,0.64
RG17 0LA,58.0,0.89
RG20 0HJ,59.7,0.94
RG19 3FT,67.2,0.96
RG31 7DT,83.7,1.18
RG14 7UT,67.4,0.88
RG18 4DP,66.0,0.98
RG31 6RX,66.4,0.93
RG8 7HY,62.7,0.81
RG17 0AE,76.0,1.05
RG20 8RH,47.7,0.8
RG14 6DB,66.2,0.85
RG31 4RE,57.7,0.8
RG14 6PP,64.3,0.93
RG14 2QN,59.8,0.83
RG19 4RL,73.7,1.04
RG7 3HN,76.5,1.06
RG14 6SF,66.8,0.98
RG18 3EH,65.6,0.93
RG20 8JX,60.5,0.91
RG17 0SG,66.9,0.98
RG7 3WY,75.6,1.05
RG19 4PY,65.5,0.96
RG17 0HS,69.0,0.88
RG14 1AR,81.1,1.05
RG17 0HH,52.1,0.64
RG7 3HJ,68.6,0.96
RG14 7DZ,69.9,0.99
RG30 3TH,59.4,0.89
RG18 3LG,55.6,0.82
RG30 3FH,84.2,1.09
RG31 7ZN,65.0,0.92
RG19 3RR,49.3,0.77
RG17 8XN,58.9,0.77
RG7 5BZ,57.8,0.79
RG31 7DH,65.2,0.95
RG17 8NP,57.8,0.83
RG8 7JQ,60.7,0.74
RG7 4TR,55.0,0.91
RG7 5BB,60.4,0.77
RG8 9QD,58.2,0.93
RG19 3LE,64.0,0.93
RG14 6SS,61.8,0.84
RG14 7SG,71.8,1.02
RG14 1SL,62.0,0.89
RG18 9JG,66.7,1.01
RG17 9DP,48.7,0.77
RG17 9QR,50.8,0.88
RG18 0XF,47.8,0.8
RG31 7XS,65.3,0.93
RG14 5PH,82.5,1.07
RG14 6DG,55.7,0.64
RG14 2PQ,61.9,0.88
RG7 3HL,62.8,0.87
RG14 5HB,45.0,0.73
RG8 7AX,73.2,1.06
RG19 3FS,65.3,0.97
RG14 6NA,62.8,0.96
RG14 7US,70.9,1.03
RG20 7BL,33.0,0.7
RG14 6EB,56.1,0.76
RG8 8TE,72.1,0.97
RG31 4RQ,62.9,0.9
RG7 3QU,55.9,0.88
RG7 5DP,63.7,0.92
RG7 3FB,83.6,1.14
RG7 5AR,80.9,1.02
RG14 2RQ,65.2,0.97
RG31 6QP,59.7,0.84
RG31 7EE,61.5,0.92
RG17 0LE,60.4,0.81
RG19 4RQ,75.2,1.05
RG7 4SF,82.4,1.17
RG7 3QS,72.7,1.03
RG7 3SP,63.5,0.94
RG19 4RN,75.6,1.04
RG14 2DP,51.5,0.73
RG14 6QX,66.4,0.96
RG31 4TA,60.7,0.86
RG31 7EN,71.0,0.93
RG31 6LT,61.6,0.81
RG14 2HP,54.6,0.82
RG19 3FY,66.2,0.95
RG14 5LL,60.2,0.86
RG18 4QR,63.3,0.87
RG8 8FD,65.1,1.0
RG19 4RW,75.9,1.02
RG18 3AA,56.3,0.86
RG14 1HR,65.0,0.83
RG14 2EQ,57.2,0.89
RG14 1DX,81.7,1.04
RG7 5NU,37.7,0.61
RG7 3SY,58.0,0.99
RG31 7ZY,63.0,0.89
RG30 3NA,65.4,0.9
RG14 7NN,57.6,0.7
RG19 3XA,63.6,0.96
RG14 2DG,76.5,1.04
RG7 3SR,65.5,0.97
RG8 7HX,76.7,1.01
RG8 7DZ,63.3,0.82
RG31 7DZ,65.6,0.96
RG31 5WF,61.6,0.94
RG18 9UF,49.3,0.77
RG14 6PB,61.0,0.83
RG14 7GA,84.8,1.18
RG18 9SL,77.5,1.04
RG8 8TD,69.4,1.02
RG8 8BS,61.2,0.91
RG14 5QA,74.6,0.94
RG7 6JJ,50.3,0.96
RG14 6DP,62.6,0.9
