district,epc,hpr
B33,62.0,0.84
B24,59.5,0.79
B9,59.0,0.73
B20,58.8,0.74
B36,57.8,0.75
B31,64.3,0.87
B73,58.4,0.79
B15,70.0,0.89
B23,61.3,0.81
B21,56.0,0.68
B4,76.9,1.01
B29,61.4,0.79
B27,57.6,0.73
B76,63.5,0.9
B30,61.0,0.78
B18,65.1,0.84
B8,57.8,0.7
B28,57.8,0.75
B19,64.2,0.81
B16,63.8,0.82
B17,59.3,0.76
B1,73.8,0.98
B14,59.2,0.78
B32,61.6,0.83
B44,58.4,0.77
B38,63.5,0.87
B12,64.1,0.81
B75,62.7,0.88
B74,61.8,0.86
B13,59.4,0.76
B42,61.5,0.81
B35,70.2,0.92
B45,64.1,0.86
B26,59.1,0.78
B10,57.0,0.69
B34,63.2,0.85
B6,59.4,0.73
B11,56.8,0.68
B25,57.5,0.73
B5,71.5,0.94
B3,71.5,0.97
B72,59.4,0.8
B7,66.9,0.87
B2,69.3,0.92
B43,57.8,0.83
B62,61.0,0.91
B37,61.6,0.78
B47,56.5,0.78
B92,67.7,0.97
B80,78.0,1.17
E5,74.0,1.08
B39,38.0,0.48
B98,74.0,1.05
