postcode,epc,hpr
LL31 9RD,63.2,0.93
LL22 7PR,60.2,0.67
LL34 6LU,69.3,0.9
LL22 8UU,47.5,0.83
LL32 8EF,74.6,1.05
LL32 8JJ,32.4,0.84
LL29 8HE,56.5,0.7
LL28 4LE,56.7,0.7
LL29 9LA,67.9,0.9
LL22 7HY,64.8,0.85
LL29 7BJ,76.8,0.98
LL26 0EP,53.1,0.66
LL22 7PY,58.8,0.86
LL30 2TY,53.5,0.66
LL30 3NS,60.9,0.93
LL30 3DA,51.1,0.67
LL25 0JD,53.0,0.78
LL31 9UG,65.5,1.02
LL29 8HD,61.9,0.91
LL30 1GB,73.3,1.0
LL30 2AS,57.6,0.75
LL31 9TZ,57.6,0.88
LL33 0RN,52.1,0.71
LL28 4YG,58.0,0.83
LL28 5AG,60.2,0.89
LL29 8EW,58.9,0.67
LL30 2HF,54.1,0.78
LL30 2QQ,52.6,0.64
LL26 0ED,65.0,0.87
LL30 3NH,56.1,0.84
LL34 6NU,47.0,0.6
LL34 6YG,46.3,0.72
LL30 1YJ,58.6,0.86
LL29 8BE,53.2,0.75
LL30 2HL,40.9,0.61
LL34 6DN,69.1,1.03
LL29 9NF,65.6,0.79
LL29 8PB,59.3,0.67
LL29 7DT,61.4,0.74
LL30 2ED,64.7,0.65
LL18 5NQ,61.8,0.99
LL30 1LZ,58.5,0.72
LL22 9PD,74.9,1.0
LL29 7NA,55.1,0.71
LL28 4DZ,74.3,1.05
LL28 4HS,70.2,0.93
LL24 0AZ,59.1,0.96
LL31 9PE,53.7,0.8
LL26 0PT,24.0,0.58
LL32 8RP,65.3,0.9
LL30 1LW,64.3,0.91
LL30 3RB,59.3,0.94
LL22 7RP,62.0,0.92
LL29 9AD,50.7,0.72
LL30 1EA,52.9,0.72
LL29 9PH,55.9,0.74
LL29 7HR,76.5,0.9
LL28 4EQ,77.4,1.05
LL30 1LU,68.5,0.92
LL22 8DH,58.6,0.88
LL33 0SR,56.4,0.78
LL30 2SQ,57.6,0.7
LL29 9BS,68.6,0.92
LL34 6AY,45.7,0.71
LL30 2YG,50.0,0.71
LL22 8EW,47.0,0.71
LL32 8PD,68.9,0.94
LL21 9UH,30.9,0.63
LL24 0PG,43.0,0.6
LL22 9NP,60.8,0.92
LL18 5LE,56.7,0.82
LL18 5NU,58.8,0.86
LL22 7ED,59.3,0.93
LL29 8PS,78.6,0.98
LL18 5BZ,63.0,0.98
LL30 1TY,57.4,0.74
LL32 8GZ,67.5,1.0
LL30 2DQ,58.5,0.69
LL34 6HD,57.7,0.72
LL28 4LR,55.8,0.67
LL18 5LF,71.7,1.04
LL28 4TN,56.6,0.92
LL30 2PE,49.5,0.65
LL30 1SS,79.7,1.07
LL21 0SD,36.0,0.59
LL31 9UX,61.8,0.88
LL31 9UH,65.4,0.92
LL29 9NT,48.1,0.78
LL22 7RN,58.6,0.83
LL28 4AP,59.0,0.85
LL30 2DP,81.2,1.08
LL31 9GH,83.1,1.17
LL34 6EG,36.8,0.61
LL31 9BD,70.4,0.93
LL29 7SA,54.8,0.66
LL29 7TE,57.9,0.85
LL30 1TF,55.2,0.7
LL29 8EU,56.5,0.64
LL22 7DT,58.3,0.92
LL22 8PQ,52.4,0.96
LL28 5NH,64.6,0.91
LL16 5RU,49.8,0.86
LL28 4LN,53.6,0.72
LL18 5DW,59.0,0.87
LL29 9YN,69.0,0.99
LL30 3PS,54.8,0.84
LL30 2YB,58.0,0.69
LL29 8PN,71.3,0.98
LL24 0DA,31.6,0.7
LL28 5ND,56.1,0.74
LL30 2BD,69.9,0.92
LL28 4EN,54.8,0.67
LL16 5ER,50.0,0.75
LL22 8SX,55.9,0.98
LL32 8QL,69.7,1.0
LL26 0AL,69.4,0.88
LL29 7SD,54.8,0.7
LL32 8TQ,64.0,0.83
LL18 5FZ,74.7,1.05
LL32 8NB,58.2,0.81
LL28 5LU,52.6,0.75
LL30 1DY,73.5,1.04
LL22 9HR,44.5,0.57
LL28 4TP,55.4,0.74
LL29 8EH,84.2,1.18
LL33 0BE,53.0,0.64
LL29 7YF,52.8,0.64
LL22 9NJ,64.2,0.99
LL31 9HR,55.5,0.86
LL22 9PH,66.5,0.9
LL16 5BT,53.0,0.85
LL29 8PT,77.0,0.97
LL22 7DW,63.1,1.0
LL31 9FD,79.6,1.08
LL29 8BL,82.7,1.08
LL28 5AH,56.1,0.8
LL22 9LP,54.5,0.74
LL27 0YX,28.4,0.6
LL29 8LE,47.0,0.95
LL26 0YT,62.3,0.94
LL29 7LE,75.9,0.98
LL31 9LH,52.0,0.89
LL29 8YD,59.8,0.88
LL16 5RT,55.3,0.88
LL29 8DG,42.5,0.58
LL28 5DZ,66.6,0.97
LL34 6DA,48.3,0.8
LL31 9DY,53.9,0.64
LL24 0LR,36.0,0.64
LL31 9HH,54.4,0.74
LL18 5NG,54.4,0.8
LL29 9BA,62.2,0.81
LL30 1LT,60.5,0.93
LL29 8SS,44.3,0.77
LL22 7SX,73.2,0.95
LL29 8PX,79.7,0.97
LL30 2DF,73.6,0.92
LL24 0EB,34.0,0.68
LL33 0ET,38.5,0.66
