outcode,epc,hpr,lat,long
SA73,62.6,0.87,51.7174251,-5.0122032
SA68,55.5,0.89,51.7295615,-4.7650739
SA67,56.4,0.88,51.783184,-4.7328423
SA64,56.5,0.8,52.002105,-5.0124731
SA69,61.1,0.91,51.710974,-4.706798
SA65,58.6,0.85,51.9881184,-4.9697965
SA71,61.0,0.89,51.6679926,-4.9293245
SA41,50.6,0.85,51.9952157,-4.7058717
SA61,64.1,0.88,51.8001658,-4.9741219
SA62,54.1,0.87,51.841175,-5.0642757
SA72,62.6,0.84,51.6917901,-4.9355542
SA63,52.9,0.87,51.8742755,-4.8563094
SA43,47.1,0.78,52.0872908,-4.6280484
SA37,47.2,0.8,52.0159313,-4.5927184
SA70,59.7,0.85,51.6725248,-4.7416638
SA36,47.8,0.81,51.9577914,-4.6087195
SA66,48.9,0.81,51.8836245,-4.7449465
SA42,54.8,0.82,52.0154537,-4.8524793
SA35,44.5,0.78,51.9710664,-4.5582429
SA34,48.3,0.83,51.8521658,-4.6189874
SA32,81.0,1.12,51.8878923,-4.1696166
