sector,epc,hpr,lat,long
NP23 4,63.2,0.84,-3.173800535055352,51.79366343542432
NP13 1,57.7,0.69,-3.135581745689658,51.73568618103447
NP23 5,63.3,0.86,-3.2120309555555555,51.79632772592593
NP13 2,57.8,0.69,-3.1358244829545443,51.71076485795458
NP23 7,58.3,0.71,-3.1815700909090903,51.73981365454546
NP23 6,63.5,0.81,-3.210439704166667,51.77708451249998
NP22 4,63.2,0.83,-3.2428861310679595,51.77739532038837
NP11 5,63.6,0.86,-3.1316722937500003,51.66711527499999
NP13 3,61.0,0.79,-3.158371956834532,51.76582063309354
NP22 3,62.7,0.81,-3.252666898058253,51.77624049999999
NP23 8,66.4,0.94,-3.1998674782608703,51.75757260869565
NP7 0,55.5,0.83,-3.1079013400000024,51.817758806666646
NP22 5,68.2,0.94,-3.281737236559141,51.75905125268818
