ONS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E06000001,1169,3400,2853,2596,2511,4912,5549,3348,4180,1542,1924,1789,2787,2396,3515
E06000002,1441,4453,3388,3424,3238,7287,9552,4959,6471,2525,2880,3116,4221,3978,4947
E06000003,1276,4023,3328,3059,3948,6440,7510,4795,3803,2467,2551,3143,2541,3398,3871
E06000004,2261,7874,8777,4911,4384,9528,9096,6683,6553,3396,4066,4394,5262,4370,4974
E06000005,1268,4105,3116,2836,2815,3959,5182,4581,2946,2520,2543,2796,2973,3205,4055
E06000006,1074,3674,3316,2586,2660,5221,5723,4155,3552,2320,2080,2515,2306,2940,3598
E06000007,1925,11628,5310,4245,4691,7521,7517,6663,4399,3405,3297,4148,4228,4729,5733
E06000008,1383,4568,3406,3051,3056,8299,8759,6323,5175,2555,2582,2451,2599,3502,3529
E06000009,1801,5744,4307,4232,3727,10719,11832,6913,5379,2940,3641,4576,3772,4421,4637
E06000010,3179,10730,8479,7460,7062,11640,12181,7829,7202,6217,6610,7038,6819,8152,8263
E06000011,3046,10775,9308,8388,8528,12361,13114,10321,9128,6816,7794,8543,8505,9272,9998
E06000012,1765,5328,4604,3731,3793,6011,6644,4472,4871,2946,3468,4573,4116,4009,4233
E06000013,1764,5017,4247,3897,4054,6513,6802,5838,4435,2960,2954,3316,3489,3815,4157
E06000014,2722,8312,5827,4931,5215,5536,5684,4755,3872,3444,4435,5028,4732,5341,5336
E06000015,2778,9406,8790,7279,6462,8949,9973,7940,6155,4510,5341,6658,7139,8087,6764
E06000016,3866,11215,8203,7904,8355,13771,15061,9948,9917,5951,7747,9450,7975,10378,10045
E06000017,361,1490,1086,861,942,1074,1286,1146,839,792,878,1122,1083,983,918
E06000018,4881,19388,18798,8811,7465,11910,13174,10012,15445,8505,14701,12291,10506,10807,10767
E06000019,2103,6339,5268,4497,4470,5471,7003,5446,3863,3892,4355,5365,5626,5665,5477
E06000020,1509,5275,4986,4511,3980,6605,8504,6781,5006,3172,3557,4405,4272,4718,4906
E06000021,2191,8831,7359,6482,6497,10230,10849,7863,6278,4264,6402,6312,5589,5722,7296
E06000022,2435,6838,5557,5034,4704,5722,5320,4588,4408,3350,4982,5767,4943,4579,5211
E06000023,7064,20532,15296,12406,11374,12650,14719,13898,10362,9068,11466,14025,13368,14182,15838
E06000024,2431,8010,6327,5221,6543,8390,8318,6596,5370,4356,4769,5602,5513,6265,6756
E06000025,2734,8483,6944,6770,6274,7757,9105,7307,6220,4864,5980,7454,6864,6780,7611
E06000026,3065,10676,8180,6519,6488,10062,14320,14453,5760,4737,6053,7216,6810,6867,7218
E06000027,2026,5407,4406,3838,3771,5915,6194,4184,3589,2978,3650,4044,3794,3992,3923
