ONS,EPC_MEAN,HPR_MEAN,EPC_PERCENTILES,HPR_PERCENTILES
E06000001,64,0.9,"[48.0, 55.0, 60.0, 63.0, 66.0, 68.0, 71.0, 74.0, 80.0]","[0.58, 0.73, 0.83, 0.94, 0.97, 1.0, 1.01, 1.04, 1.07]"
E06000002,64,0.89,"[48.0, 55.0, 60.0, 64.0, 67.0, 69.0, 72.0, 75.0, 81.0]","[0.58, 0.73, 0.8, 0.9, 0.96, 0.99, 1.01, 1.04, 1.08]"
E06000003,63,0.88,"[45.0, 53.0, 58.0, 62.0, 65.0, 68.0, 70.0, 73.0, 80.0]","[0.59, 0.72, 0.78, 0.87, 0.95, 0.99, 1.01, 1.04, 1.07]"
E06000004,65,0.92,"[50.0, 57.0, 61.0, 64.0, 67.0, 69.0, 72.0, 76.0, 81.0]","[0.69, 0.75, 0.86, 0.94, 0.98, 1.0, 1.02, 1.04, 1.09]"
E06000005,63,0.85,"[45.0, 53.0, 58.0, 61.0, 65.0, 68.0, 71.0, 75.0, 81.0]","[0.49, 0.67, 0.74, 0.79, 0.9, 0.96, 1.0, 1.03, 1.08]"
E06000006,65,0.91,"[51.0, 57.0, 62.0, 65.0, 68.0, 70.0, 72.0, 75.0, 81.0]","[0.66, 0.75, 0.84, 0.9, 0.96, 0.99, 1.01, 1.04, 1.07]"
E06000007,66,0.91,"[51.0, 57.0, 61.099999999998545, 65.0, 67.0, 70.0, 73.0, 76.0, 81.0]","[0.68, 0.77, 0.85, 0.91, 0.96, 0.99, 1.01, 1.04, 1.08]"
E06000008,62,0.84,"[45.0, 53.0, 57.0, 61.0, 64.0, 67.0, 69.0, 73.0, 78.0]","[0.55, 0.64, 0.74, 0.79, 0.86, 0.95, 0.99, 1.02, 1.05]"
E06000009,58,0.82,"[39.0, 47.0, 53.0, 57.0, 61.0, 64.0, 67.0, 70.0, 73.0]","[0.58, 0.67, 0.74, 0.8, 0.85, 0.88, 0.95, 0.99, 1.02]"
E06000010,63,0.85,"[49.0, 56.0, 60.0, 63.0, 66.0, 68.0, 70.0, 73.0, 78.0]","[0.57, 0.69, 0.75, 0.79, 0.88, 0.96, 0.99, 1.02, 1.05]"
E06000011,62,0.89,"[42.0, 51.0, 57.0, 61.0, 64.0, 67.0, 70.0, 74.0, 82.0]","[0.59, 0.72, 0.79, 0.89, 0.95, 0.99, 1.01, 1.04, 1.12]"
E06000012,62,0.84,"[46.0, 53.0, 58.0, 61.0, 64.0, 66.0, 69.0, 72.0, 77.0]","[0.58, 0.69, 0.74, 0.78, 0.86, 0.94, 0.98, 1.01, 1.05]"
E06000013,62,0.9,"[45.0, 53.0, 58.0, 62.0, 65.0, 68.0, 70.0, 73.0, 78.0]","[0.67, 0.74, 0.81, 0.89, 0.96, 1.0, 1.02, 1.04, 1.07]"
E06000014,64,0.89,"[50.0, 57.0, 61.0, 64.0, 66.0, 68.0, 71.0, 74.0, 80.0]","[0.61, 0.73, 0.8, 0.89, 0.95, 0.99, 1.01, 1.03, 1.05]"
