ONS,Local Authority,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
S12000033,Aberdeen City,0,3,7,7,13,18,19,21,27,31,39,43,55,65
S12000034,Aberdeenshire,6,42,84,163,201,251,346,446,516,597,717,850,1028,1109
E07000223,Adur,1,1,4,4,4,5,6,8,9,9,10,15,20,29
E07000026,Allerdale,2,3,10,27,35,44,49,60,72,103,112,189,237,257
E07000032,Amber Valley,0,4,9,11,17,22,31,39,49,61,102,136,169,195
S12000041,Angus,1,12,14,24,43,64,86,102,119,136,164,200,247,280
S12000035,Argyll and Bute,6,15,31,62,98,132,182,238,311,396,539,1022,1496,1713
E07000224,Arun,0,1,6,9,18,22,26,29,34,39,44,56,68,84
E07000170,Ashfield,1,1,2,3,5,7,10,11,17,24,55,69,83,97
E07000105,Ashford,2,6,14,26,40,52,62,76,88,97,123,146,193,223
E07000200,Babergh,2,14,40,54,83,107,115,125,142,201,275,360,493,535
E09000002,Barking and Dagenham,0,0,1,1,1,1,1,2,2,6,6,6,6,7
E09000003,Barnet,0,1,1,4,4,6,7,9,12,14,17,23,30,41
E08000016,Barnsley,1,3,6,30,120,307,416,518,594,629,664,701,742,759
E07000027,Barrow-in-Furness,0,0,2,3,3,3,4,6,6,7,8,8,10,10
E07000066,Basildon,0,0,0,0,1,1,3,10,18,22,31,32,41,47
E07000084,Basingstoke and Deane,1,5,6,15,26,60,164,243,250,265,308,339,407,460
E07000171,Bassetlaw,0,9,38,99,110,121,150,175,214,257,300,352,408,441
E06000022,Bath and North East Somerset,0,2,14,27,36,55,80,87,95,106,132,165,225,270
E06000055,Bedford,1,8,12,34,53,89,150,209,225,234,252,274,321,336
E09000004,Bexley,0,1,1,1,1,1,1,2,2,2,2,5,9,13
E08000025,Birmingham,2,3,4,6,7,8,13,18,23,27,29,32,51,73
E07000129,Blaby,0,0,0,1,5,6,7,10,43,70,71,86,114,122
E06000008,Blackburn with Darwen,1,1,1,10,12,13,15,17,19,19,19,29,36,42
E06000009,Blackpool,0,0,0,0,0,0,0,0,0,0,3,3,5,7
W06000019,Blaenau Gwent,0,0,0,0,0,0,0,0,0,1,1,1,3,5
E07000033,Bolsover,0,0,2,2,3,3,5,10,19,31,47,64,75,81
E08000001,Bolton,1,2,4,7,12,13,19,20,22,25,88,90,100,103
E07000136,Boston,0,2,7,18,32,48,61,86,123,156,171,182,209,228
E06000058,"Bournemouth, Christchurch and Poole",0,2,6,12,16,22,30,35,42,45,62,83,120,167
E06000036,Bracknell Forest,0,0,1,2,3,5,10,15,17,18,19,21,28,40
E08000032,Bradford,3,9,41,59,68,74,79,87,114,124,145,174,242,305
E07000067,Braintree,3,6,13,17,25,38,54,65,74,88,113,141,187,216
E07000143,Breckland,3,11,33,59,94,142,184,213,258,317,462,595,779,834
E09000005,Brent,0,0,0,0,0,0,2,4,4,7,9,10,13,17
E07000068,Brentwood,0,0,1,2,4,4,5,8,12,16,19,21,26,32
W06000013,Bridgend,0,1,1,1,2,4,6,9,14,18,19,20,26,32
E06000043,Brighton and Hove,1,2,4,4,7,9,13,14,17,20,28,40,67,86
E06000023,"Bristol, City of",0,1,4,4,6,6,10,13,17,17,29,53,97,147
E07000144,Broadland,3,19,33,44,59,77,96,111,158,197,267,329,406,440
E09000006,Bromley,0,0,5,8,11,12,14,16,17,20,22,28,50,64
E07000234,Bromsgrove,1,3,6,11,15,22,29,33,44,49,57,62,79,87
E07000095,Broxbourne,0,0,0,1,1,1,2,3,4,4,6,12,12,17
E07000172,Broxtowe,0,1,1,2,6,6,6,11,13,15,24,34,54,70
E06000060,Buckinghamshire,9,31,71,131,222,297,371,426,477,559,654,766,921,1038
E07000117,Burnley,0,0,1,4,5,5,5,8,8,9,12,13,16,18
E08000002,Bury,0,0,0,0,2,4,6,25,30,33,38,50,59,67
W06000018,Caerphilly,0,1,4,6,10,13,14,16,19,20,24,30,41,50
E08000033,Calderdale,0,3,13,21,29,37,43,57,86,98,114,141,187,265
E07000008,Cambridge,4,5,7,7,10,13,15,17,25,28,36,44,70,94
E09000007,Camden,0,0,0,0,3,4,7,8,8,9,11,14,23,32
E07000192,Cannock Chase,0,1,1,1,2,2,3,4,5,5,6,8,13,15
E07000106,Canterbury,2,5,7,9,17,21,27,31,47,54,67,79,102,121
W06000015,Cardiff,0,3,3,4,4,5,6,8,13,14,17,21,26,38
E07000028,Carlisle,0,6,15,21,21,30,38,46,51,60,68,80,89,107
W06000010,Carmarthenshire,0,15,39,69,103,134,173,204,254,290,355,403,479,572
E07000069,Castle Point,0,0,0,0,2,3,8,12,15,18,22,22,24,25
E06000056,Central Bedfordshire,1,8,15,28,74,142,159,184,209,337,401,447,522,549
W06000008,Ceredigion,4,11,27,54,76,110,158,192,238,302,352,410,474,565
E07000130,Charnwood,2,7,13,16,21,21,23,47,62,71,87,93,112,123
E07000070,Chelmsford,0,2,22,57,73,80,90,103,123,138,162,189,230,246
E07000078,Cheltenham,0,4,4,4,7,14,17,17,17,19,22,27,41,48
E07000177,Cherwell,1,11,25,43,59,70,84,101,119,136,169,200,254,293
E06000049,Cheshire East,4,18,34,68,92,120,165,201,238,285,347,418,544,667
E06000050,Cheshire West and Chester,2,10,27,44,64,77,103,121,140,164,207,240,323,409
E07000034,Chesterfield,0,0,0,1,1,3,3,5,17,35,51,66,84,93
E07000225,Chichester,2,14,29,47,63,79,101,114,139,158,248,300,369,438
E07000118,Chorley,1,6,9,15,25,32,41,48,51,63,72,82,100,117
S12000036,City of Edinburgh,0,1,2,5,6,10,16,23,34,42,52,75,112,148
S12000005,Clackmannanshire,1,1,2,2,3,3,4,5,7,10,15,23,30,37
E07000071,Colchester,0,1,5,9,14,27,70,80,100,114,142,158,197,219
W06000003,Conwy,1,3,7,17,26,31,55,67,95,113,135,170,208,249
E07000029,Copeland,3,7,11,13,21,24,28,49,56,62,72,82,90,101
E06000052,Cornwall,16,81,161,289,404,592,791,1005,1265,1603,1993,2375,2953,3336
E07000079,Cotswold,3,14,38,56,69,91,117,127,147,184,229,287,367,438
E06000047,County Durham,3,23,45,85,99,138,165,180,198,223,257,319,424,516
E08000026,Coventry,0,0,1,21,22,22,22,24,27,35,36,39,51,58
E07000163,Craven,1,9,16,31,41,54,68,80,90,102,125,141,181,227
E07000226,Crawley,0,0,1,1,1,1,2,3,6,7,7,7,10,11
E09000008,Croydon,1,1,3,3,4,5,7,8,11,13,18,20,28,44
E07000096,Dacorum,2,6,7,11,19,40,64,71,77,94,101,114,143,170
E06000005,Darlington,0,1,4,8,9,11,17,22,27,31,36,43,54,64
E07000107,Dartford,0,0,0,1,1,1,1,2,6,8,9,9,10,10
W06000004,Denbighshire,0,5,17,27,39,59,74,102,130,151,190,295,461,539
E06000015,Derby,0,0,0,37,37,38,39,42,65,97,119,159,186,197
E07000035,Derbyshire Dales,2,8,25,37,53,68,91,101,119,137,164,207,280,339
E08000017,Doncaster,0,1,3,7,14,20,28,49,101,139,188,223,278,308
E06000059,Dorset,4,26,57,99,173,256,322,386,456,511,634,786,979,1125
E07000108,Dover,0,1,4,6,10,12,17,19,27,32,38,46,77,89
E08000027,Dudley,0,0,0,1,1,1,4,5,5,5,7,10,20,23
S12000006,Dumfries and Galloway,4,13,32,50,929,996,1057,1081,1115,1170,1260,1337,1455,1527
S12000042,Dundee City,0,0,0,0,2,3,7,8,12,15,18,25,31,35
E09000009,Ealing,0,1,3,4,4,5,7,7,9,10,12,14,23,28
S12000008,East Ayrshire,0,2,4,5,13,15,25,30,45,51,60,69,91,107
E07000009,East Cambridgeshire,1,5,12,19,36,52,65,80,103,136,164,208,290,325
E07000040,East Devon,5,15,28,38,57,90,121,156,184,227,281,343,419,469
S12000045,East Dunbartonshire,1,2,4,6,7,8,11,11,17,18,31,38,49,61
E07000085,East Hampshire,4,11,23,34,51,71,86,98,112,129,165,205,270,313
E07000242,East Hertfordshire,1,6,9,18,31,50,57,66,81,97,123,157,209,246
E07000137,East Lindsey,36,93,145,194,204,237,258,280,323,373,486,612,747,820
S12000010,East Lothian,0,3,6,7,17,38,44,51,69,87,105,124,151,173
S12000011,East Renfrewshire,0,1,1,1,3,4,7,9,13,18,20,24,31,39
E06000011,East Riding of Yorkshire,2,10,31,42,68,115,202,285,367,462,607,802,1017,1166
E07000193,East Staffordshire,1,5,5,10,16,26,35,45,56,64,89,124,176,199
E07000244,East Suffolk,7,28,89,140,190,260,305,352,420,498,629,803,1070,1188
E07000061,Eastbourne,0,0,0,0,0,3,3,4,5,5,5,9,10,14
E07000086,Eastleigh,0,0,1,1,6,8,10,12,13,18,22,24,44,51
E07000030,Eden,3,5,32,64,97,138,156,182,196,221,277,340,445,503
E07000207,Elmbridge,0,0,3,5,9,12,14,16,24,25,29,35,48,71
E09000010,Enfield,0,0,1,1,2,4,5,9,11,14,18,22,32,42
E07000072,Epping Forest,1,2,13,47,59,60,117,154,169,172,182,191,213,228
