ONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000052,TR11,TR4,TR2,PL30,PL12,TR12,TR18,PL15,PL17,PL14,PL25,TR20,PL28,TR26,TR14,TR19,PL13,TR1,TR9,TR3,PL27,TR15,PL23,TR13,PL24,TR10,PL31,TR8,TR16,EX23,PL11,PL18,PL34,TR6,TR27,TR7,PL26,TR5,PL35,PL22,PL10,TR17,PL32,PL33,PL29
E07000026,CA7,CA12,CA13,CA15,CA14,CA95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000188,BS27,TA8,BS26,TA9,BS28,TA6,TA5,BS25,TA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000071,CO4,CO5,CO2,CO1,CO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000025,E13,E16,E15,E6,E7,E20,E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000042,EX17,EX16,EX18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000024,SW20,SW19,SM4,CR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000202,IP4,IP1,IP2,IP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000109,DA13,ME3,DA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000187,BA5,BA4,BA3,BA11,BA6,BA16,BA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000087,SO31,PO16,PO14,PO15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000004,DA16,DA7,DA14,DA15,DA5,DA8,DA6,DA17,SE9,DA18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000033,S80,S44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000023,SE13,SE12,SE10,SE6,SE14,SE3,SE23,SE4,SE26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000032,LU1,LU4,LU2,LU3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000015,HA2,HA7,HA1,HA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000073,CM18,CM17,CM20,CM19,CM92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
