OUTCODE,ONS
CA7,E07000026
BS27,E07000188
CO4,E07000071
E13,E09000025
EX17,E07000042
SW20,E09000024
IP4,E07000202
DA13,E07000109
BA5,E07000187
SO31,E07000087
E16,E09000025
DA16,E09000004
S80,E07000033
SE13,E09000023
LU1,E06000032
HA2,E09000015
CM18,E07000073
CO6,E07000200
HA8,E09000003
GU26,E07000216
W5,E09000009
RH4,E07000210
NW9,E09000003
BA4,E07000187
WD17,E07000103
GU22,E07000217
DA7,E09000004
EX4,E07000041
EN5,E09000003
HA9,E09000005
BN16,E07000224
E15,E09000025
M25,E08000002
TA10,E07000189
TW15,E07000213
BA3,E07000187
CH60,E08000015
BN12,E07000224
EX2,E07000041
CA3,E07000028
CR3,E07000215
TA8,E07000188
BR2,E09000006
L20,E08000014
HA3,E09000005
CV23,E07000220
GU51,E07000089
BA11,E07000187
TQ9,E07000044
CR5,E09000008
E6,E09000025
RM1,E09000016
RG27,E07000089
TN24,E07000105
PO12,E07000088
CH45,E08000015
SW19,E09000024
CA25,E07000029
EX6,E07000045
GU1,E07000209
RH13,E07000227
TW8,E09000018
CB9,E07000067
CM1,E07000070
W7,E09000009
CR0,E09000008
EX5,E07000040
IP25,E07000143
PR8,E08000014
BS26,E07000188
DN10,E07000171
N20,E09000003
CA2,E07000028
TQ8,E07000044
GU20,E07000217
CO10,E07000200
RM5,E09000016
RG1,E06000038
PR9,E08000014
EN4,E09000010
CH49,E08000015
N14,E09000003
GU21,E07000217
NW4,E09000003
BR6,E09000006
CO5,E07000071
BA6,E07000187
CM0,E07000074
CT15,E07000108
UB6,E09000009
GU11,E07000092
NR1,E07000148
PO11,E07000090
TQ12,E07000045
EX9,E07000040
PE37,E07000143
CB2,E07000008
BL9,E08000002
IP1,E07000202
SW1P,E09000032
N11,E09000003
L31,E08000014
SO30,E07000086
CA12,E07000026
RH5,E07000210
PO17,E07000094
RM6,E09000026
SE12,E09000023
SE1,E09000022
TA9,E07000188
HA7,E09000015
IP2,E07000202
BR4,E09000006
CH43,E08000015
CT13,E07000108
IP7,E07000200
LU4,E06000032
TW18,E07000213
E7,E09000025
L30,E08000014
TW20,E07000212
NW7,E09000003
CO15,E07000076
NW3,E09000007
SW9,E09000022
PO9,E07000090
CT10,E07000114
BS28,E07000188
DY3,E08000027
CR9,E09000008
CA10,E07000030
EN1,E09000010
SW16,E09000022
ST18,E07000197
TQ3,E06000027
PO8,E07000090
TA6,E07000188
