ONS,NAME,POPULATION
E06000047,County Durham,"521,346"
E06000005,Darlington,"108,222"
E06000001,Hartlepool,"92,571"
E06000002,Middlesbrough,"143,734"
E06000057,Northumberland,"321,558"
E06000003,Redcar and Cleveland,"136,616"
E06000004,Stockton-on-Tees,"197,030"
E11000007,Tyne and Wear (Met County),"1,125,695"
E08000037,Gateshead,"196,154"
E08000021,Newcastle upon Tyne,"298,264"
E08000022,North Tyneside,"209,151"
E08000023,South Tyneside,"147,915"
E08000024,Sunderland,"274,211"
E12000002,NORTH WEST,"7,422,295"
E06000008,Blackburn with Darwen,"154,922"
E06000009,Blackpool,"140,954"
E06000049,Cheshire East,"400,528"
E06000050,Cheshire West and Chester,"357,699"
E06000006,Halton,"128,577"
E06000007,Warrington,"211,227"
E10000006,Cumbria,"500,821"
E07000026,Allerdale,"96,384"
E07000027,Barrow-in-Furness,"67,375"
E07000028,Carlisle,"110,255"
E07000029,Copeland,"67,176"
E07000030,Eden,"54,955"
E07000031,South Lakeland,"104,676"
E11000001,Greater Manchester (Met County),"2,868,387"
E08000001,Bolton,"296,041"
E08000002,Bury,"193,823"
E08000003,Manchester,"549,853"
E08000004,Oldham,"242,072"
E08000005,Rochdale,"224,087"
E08000006,Salford,"270,764"
E08000007,Stockport,"295,243"
E08000008,Tameside,"231,199"
E08000009,Trafford,"235,546"
E08000010,Wigan,"329,759"
E10000017,Lancashire,"1,236,035"
E07000117,Burnley,"94,721"
E07000118,Chorley,"117,937"
E07000119,Fylde,"81,845"
E07000120,Hyndburn,"82,261"
E07000121,Lancaster,"142,162"
E07000122,Pendle,"95,789"
E07000123,Preston,"147,617"
E07000124,Ribble Valley,"61,907"
E07000125,Rossendale,"71,010"
E07000126,South Ribble,"111,204"
E07000127,West Lancashire,"117,125"
E07000128,Wyre,"112,457"
E11000002,Merseyside (Met County),"1,423,145"
E08000011,Knowsley,"154,974"
E08000012,Liverpool,"484,488"
E08000014,Sefton,"279,692"
E08000013,St. Helens,"183,391"
E08000015,Wirral,"320,600"
E12000003,YORKSHIRE AND THE HUMBER,"5,481,431"
E06000011,East Riding of Yorkshire,"343,143"
E06000010,"Kingston upon Hull, City of","266,463"
E06000012,North East Lincolnshire,"157,197"
E06000013,North Lincolnshire,"169,940"
E06000014,York,"201,672"
E10000023,North Yorkshire,"618,847"
E07000163,Craven,"57,090"
E07000164,Hambleton,"91,037"
E07000165,Harrogate,"164,105"
E07000166,Richmondshire,"50,358"
E07000167,Ryedale,"54,897"
E07000168,Scarborough,"108,959"
E07000169,Selby,"92,401"
E11000003,South Yorkshire (Met County),"1,374,182"
E08000016,Barnsley,"244,893"
E08000017,Doncaster,"308,705"
E08000018,Rotherham,"266,183"
E08000019,Sheffield,"554,401"
E11000006,West Yorkshire (Met County),"2,349,987"
E08000032,Bradford,"546,976"
E08000033,Calderdale,"206,818"
E08000034,Kirklees,"433,355"
E08000035,Leeds,"809,036"
E08000036,Wakefield,"353,802"
E12000004,EAST MIDLANDS,"4,880,094"
E06000015,Derby,"261,136"
E06000016,Leicester,"366,018"
E06000061,North Northamptonshire,"360,381"
E06000018,Nottingham,"319,566"
E06000017,Rutland,"41,381"
E06000062,West Northamptonshire�,"426,462"
E10000007,Derbyshire,"796,847"
E07000032,Amber Valley,"126,489"
E07000033,Bolsover,"80,476"
E07000034,Chesterfield,"103,672"
E07000035,Derbyshire Dales,"71,681"
E07000036,Erewash,"113,047"
E07000037,High Peak,"91,104"
E07000038,North East Derbyshire,"102,315"
E07000039,South Derbyshire,"108,063"
E10000018,Leicestershire,"712,572"
E07000129,Blaby,"103,271"
E07000130,Charnwood,"182,817"
E07000131,Harborough,"98,287"
E07000132,Hinckley and Bosworth,"113,660"
E07000133,Melton,"51,773"
E07000134,North West Leicestershire,"105,011"
E07000135,Oadby and Wigston,"57,753"
