postcode,epc,hpr,lat,long
HP13,65.0,0.89,51.6344818,-0.7404825
SL7,62.0,0.87,51.5753276,-0.777869
SL8,61.5,0.86,51.5787364,-0.7087112
HP14,59.6,0.88,51.6524063,-0.8387317
HP12,63.4,0.87,51.6259591,-0.7795608
HP27,64.0,0.91,51.7206955,-0.8325872
HP11,67.8,0.91,51.6239518,-0.7453006
HP15,62.3,0.88,51.6585214,-0.7117144
RG9,45.3,0.75,51.5450342,-0.9260061
HP10,62.1,0.86,51.6083649,-0.6974711
HP17,58.1,0.86,51.7768478,-0.8843057
HP16,46.6,0.76,51.7022351,-0.7196191
HP9,46.3,0.84,51.6103131,-0.6407522
SL6,62.5,0.91,51.5239786,-0.7292167
HP22,54.7,0.83,51.8076076,-0.7693074
SW18,86.0,0.92,51.4512533,-0.191462
OX39,54.8,0.85,51.701667,-0.9158158
SL1,32.0,0.37,51.5178471,-0.6222163
WD18,86.0,1.01,51.6491262,-0.4146492
CM7,85.0,1.04,51.897274,0.5373554
