postcode,epc,hpr,lat,long
LL31,63.5,0.89,53.2903448,-3.8104002
LL22,59.1,0.87,53.2679053,-3.5977386
LL34,58.8,0.8,53.2705627,-3.9145251
LL32,55.6,0.83,53.2580548,-3.8411359
LL29,58.5,0.81,53.2891437,-3.7084555
LL28,59.6,0.84,53.2878956,-3.7618075
LL26,57.5,0.83,53.1395034,-3.7857607
LL30,60.7,0.83,53.3180209,-3.8162186
LL25,42.5,0.76,53.0537805,-3.8808964
LL33,57.0,0.78,53.2507498,-3.9789879
LL18,61.8,0.92,53.3102991,-3.4760171
LL24,42.3,0.71,53.0577084,-3.7859794
LL21,44.1,0.76,52.9900548,-3.4102899
LL16,43.0,0.77,53.185191,-3.4330517
LL27,51.9,0.76,53.1485258,-3.8275336
LL17,41.4,0.64,53.2523853,-3.4370183
