Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class
9832,Foss Islands,11,30,36,27.626,GREEN,Primary
9891-11,Harrogate 132/11kV,11,30,36,32.243,GREEN,BSP
9901,Oatlands,11,18.75,22.9,9.796,GREEN,Primary
9903,Starbeck,11,18.75,22.9,20.16,AMBER,Primary
7490443,Barden Friar,20,7.5,5,0.938,GREEN,Primary
9877,Bedale,11,24,22,17.55,GREEN,Primary
9878,Catterick Camp,11,18.75,24,16.815,GREEN,Primary
9881,Northallerton,11,18.75,24,17.76,GREEN,Primary
2826869,Romanby,11,10.1,8,6.063,AMBER,Primary
9882-2,Richmond T2,11,24,24,3.5,GREEN,Primary
9883,Thirsk,11,14,14,13.111,AMBER,Primary
9884,Wensleydale,11,14,19,10.502,GREEN,Primary
9845,Kirbymoorside,11,24,24,9.86,GREEN,Primary
9846,Malton,11,32,32,23.917,GREEN,Primary
9849,Sheriff Hutton,11,18.75,24,11.619,GREEN,Primary
9865,Thornton Dale,11,24,19.5,11.641,GREEN,Primary
2522850,Yedingham,11,24,8,2.884,GREEN,Primary
9841,Campleshon Road,11,18.75,24,16.505,GREEN,Primary
2524256,Elvington,11,24,20,12.23,GREEN,Primary
9843,Haxby Road T2 T3,11,15,14,11.2,AMBER,Primary
9844,Huntington New Lane,11,24,24,17.751,GREEN,Primary
9838-11,Melrosegate 33/11kV,11,30,32,27.577,GREEN,Primary
9847,Rawcliffe Lane,11,18.75,24,20.111,GREEN,Primary
9851,York University,11,24,24,13.209,GREEN,Primary
9861,Eastfield,11,32,30.3,19.121,GREEN,Primary
9862,Newby,11,24,24,11.946,GREEN,Primary
9863,North Street,11,24,24,11.323,GREEN,Primary
3363742,Ravenscar,11,10,8,1.7,GREEN,Primary
9864,Scarborough 33/11kV,11,32,32,18.82,GREEN,Primary
9866-1,Whitby T1,11,24,19.1,4.11,GREEN,Primary
9867-1,Whitby West T1,11,24,24,4.75,GREEN,Primary
9898,Boroughbridge,11,15,15,9.933,GREEN,Primary
2822141,Roecliffe Industrial,11,24,15,9.933,GREEN,Primary
9899,Coneythorpe,11,24,22,12.517,GREEN,Primary
7129903,Darley,11,10,8,4.177,GREEN,Primary
9902,Ripon,11,24,24,23.369,AMBER,Primary
9897-11,Wormald Green 132/11kV,11,30,36,8.41,GREEN,BSP
9893-11,Husthwaite 33/11kV,11,15,15,10.511,GREEN,Primary
2530198,Sessay Bridge,11,24,12,9.747,GREEN,Primary
2541519,Sowerby,11,24,12,9.747,AMBER,Primary
9760,Acklam,11,24,22.8,17.54,GREEN,Primary
