Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class,Demand Headroom (MVA),lat,long
9832,Foss Islands,11.0,30.0,36,27.626,GREEN,Primary,8.373999999999999,53.96134,-1.071831
9891-11,Harrogate 132/11kV,11.0,30.0,36,32.243,GREEN,BSP,3.756999999999998,54.000992,-1.55462
9901,Oatlands,11.0,18.75,22.9,9.796,GREEN,Primary,13.104,53.976656,-1.531179
9903,Starbeck,11.0,18.75,22.9,20.16,AMBER,Primary,2.7399999999999984,53.997108,-1.498992
7490443,Barden Friar,20.0,7.5,5,0.938,GREEN,Primary,4.062,54.337751,-1.794442
9877,Bedale,11.0,24.0,22,17.55,GREEN,Primary,4.449999999999999,54.290103,-1.590491
9878,Catterick Camp,11.0,18.75,24,16.815,GREEN,Primary,7.184999999999999,54.374833,-1.729052
9881,Northallerton,11.0,18.75,24,17.76,GREEN,Primary,6.239999999999998,54.346786,-1.479224
2826869,Romanby,11.0,10.1,8,6.063,AMBER,Primary,1.9370000000000003,54.326785,-1.452923
9882-2,Richmond T2,11.0,24.0,24,3.5,GREEN,Primary,20.5,54.411318,-1.720981
9883,Thirsk,11.0,14.0,14,13.111,AMBER,Primary,0.8889999999999993,54.229896,-1.388612
9884,Wensleydale,11.0,14.0,19,10.502,GREEN,Primary,8.498,54.307973,-1.8506
9845,Kirbymoorside,11.0,24.0,24,9.86,GREEN,Primary,14.14,54.252396,-0.934797
9846,Malton,11.0,32.0,32,23.917,GREEN,Primary,8.082999999999998,54.142032,-0.796355
9849,Sheriff Hutton,11.0,18.75,24,11.619,GREEN,Primary,12.381,54.094416,-1.035702
9865,Thornton Dale,11.0,24.0,19.5,11.641,GREEN,Primary,7.859,54.231049,-0.742153
2522850,Yedingham,11.0,24.0,8,2.884,GREEN,Primary,5.116,54.191177,-0.623701
9841,Campleshon Road,11.0,18.75,24,16.505,GREEN,Primary,7.495000000000001,53.943376,-1.088535
2524256,Elvington,11.0,24.0,20,12.23,GREEN,Primary,7.77,53.924533,-0.949104
9843,Haxby Road T2 T3,11.0,15.0,14,11.2,AMBER,Primary,2.8000000000000007,53.976703,-1.075199
9844,Huntington New Lane,11.0,24.0,24,17.751,GREEN,Primary,6.248999999999999,53.979219,-1.055674
9838-11,Melrosegate 33/11kV,11.0,30.0,32,27.577,GREEN,Primary,4.422999999999998,53.959284,-1.058779
9847,Rawcliffe Lane,11.0,18.75,24,20.111,GREEN,Primary,3.8889999999999993,53.979819,-1.10608
9851,York University,11.0,24.0,24,13.209,GREEN,Primary,10.791,53.949157,-1.044266
9861,Eastfield,11.0,32.0,30.3,19.121,GREEN,Primary,11.179000000000002,54.236995,-0.399549
9862,Newby,11.0,24.0,24,11.946,GREEN,Primary,12.054,54.28903,-0.433352
9863,North Street,11.0,24.0,24,11.323,GREEN,Primary,12.677,54.284206,-0.401065
