Primary Substation,Voltage (kV),BSP Group,BCA Group (GSP),Easting,Northing,Firm Capacity (MVA),Demand Headroom (MW)
ALBION ST,6.6,LOWER DARWEN,ROCHDALE,367434,426087,4.6,2.1
ALDERLEY,11,MOSS NOOK,SOUTH MANCHESTER,385044,379026,7.6,10.6
ALSTON,11,PENRITH & SHAP,HUTTON,372125,546499,7.6,0
AMBLESIDE,11,KENDAL (PARKSIDE RD),HUTTON,337602,503506,7.6,8
ANCOATS NORTH T11 & T12,6.6,RED BANK,WHITEGATE,385022,398830,4.6,6.7
ANCOATS NORTH T14,6.6,RED BANK,WHITEGATE,385032,398840,4.6,7.5
ANNIE PIT,11,STAINBURN & SIDDICK,HARKER,300011,527810,7.6,4.7
ANSDELL,6.6,LYTHAM,PENWORTHAM ,334416,428229,9.1,0
ARDWICK,6.6,STUART ST,STALYBRIDGE,384753,397415,7.2,2.8
ARNSIDE,11,KENDAL (PARKSIDE RD),HUTTON,346495,478180,7.6,10.6
ASHTON (GOLBORNE),6.6,ORRELL,WASHWAY FARM / KIRKBY,357056,400663,9.1,0
ASHTON (RIBBLE),6.6,RIBBLE,PENWORTHAM ,350275,430526,7.2,1.2
ASHTON ON MERSEY,6.6,SALE,CARRINGTON,377188,392252,7.2,10
ASHTON UNDER LYNE T11 & T12,6.6,HARTSHEAD-HEYROD,STALYBRIDGE,393275,399319,7.2,5.8
ASHTON UNDER LYNE T13,6.6,HARTSHEAD-HEYROD,STALYBRIDGE,393285,399329,7.2,6.9
ASHWOOD DALE,6.6,BUXTON,STALYBRIDGE,406537,373050,7.2,5.3
ASKAM,11,ULVERSTON,HARKER,321558,477806,12,1.5
ASKERTON CASTLE,11,-,HARKER,354779,568913,15.2,0.9
ASPATRIA,11,STAINBURN & SIDDICK,HARKER,314417,542840,7.6,4
ATHERTON TOWN CENTRE,11,ATHERTON,KEARSLEY,367546,403338,15.2,7.4
