Geo Point,PrimarySiteFunctionalLocation,Primary,PrimaryAlias,PrimarySubstationName,FirmCapacitySummer,FirmCapacityWinter,DemandHeadroom,DemandRAG,SeasonOfConstraint
"52.20636626877125, -0.2625136705048988",EPN-S0000000F4055,B53 LITTLE BARFORD 11KV,0F4055,Little Barford 11kV,27.6,36.6,23.22%,Green (Over 5% headroom),Winter
"52.61000180531678, 1.3464568430467996",EPN-S0000000F5014,L23 THORPE LOCAL PRIMARY,0F5014,Thorpe Gd Local 11kV,57.6,74.9,68.75%,Green (Over 5% headroom),Summer
"52.61179150114211, -0.3100223708138592",EPN-S0000000F6037,C04 PETERBOROUGH NORTH GRID,0F6037,Peterborough North Grid 11kV,57.6,73.2,25.69%,Green (Over 5% headroom),Summer
"52.55166289735493, -0.28107307724643554",EPN-S0000000F6039,C53 PETERBOROUGH SOUTH PRI,0F6039,Peterborough South Grid 11kV,57.6,73.2,59.9%,Green (Over 5% headroom),Summer
"52.629563253077734, -0.13597256919037232",EPN-S0000000F6057,C09 PETERBOROUGH EAST 33-11,0F6057,Peterborough East Grid 11kV,57.6,73.2,42.88%,Green (Over 5% headroom),Summer
"51.660622060004115, -0.028592403896303284",EPN-S0000000F7026,G44 BRIMSDOWN SOUTH GRID,0F7026,Brimsdown South Grid 11kV,28.8,36.6,10.76%,Green (Over 5% headroom),Summer
"51.61931724283939, -0.11752361592768151",EPN-S0000000F7030,G23 PALMERS GRN GRID,0F7030,Palmers Grn Grid 11kV,57.6,69.1,32.56%,Green (Over 5% headroom),Winter
"51.538259617688574, 0.7088830953948048",EPN-S0000000F7057,C49 SOUTHEND GRID 11KV,0F7057,Southend Grid 11kV,57.6,69.1,46.89%,Green (Over 5% headroom),Winter
"51.68344384271953, -0.3836715385988897",EPN-S0000000F8006,K46 BUSHEY MILL GRID,0F8006,Bushey Mill Grid 11kV,57.6,74.9,55.73%,Green (Over 5% headroom),Summer
"52.2442962365467, 0.9314564104043306",EPN-S0000000H1004,B12 ELMSWELL PRIMARY,0H1004,Elmswell Primary 11kV,7.2,8.6,52.33%,Green (Over 5% headroom),Winter
"52.08594884735893, 1.1566325410911376",EPN-S0000000H1006,D14 HIGHFIELD PRIMARY,0H1006,Highfield Primary 11kV,16.6,21.9,22.29%,Green (Over 5% headroom),Summer
"52.03767753163712, 1.2404018122289675",EPN-S0000000H1009,D26 WARREN HEATH,0H1009,Warren Heath 11kV,16.6,17.8,21.35%,Green (Over 5% headroom),Winter
"52.00311842500649, 0.7416567640376672",EPN-S0000000H1013,B17 CORNARD PRIMARY,0H1013,Cornard Primary 11kV,16.6,21.9,53.01%,Green (Over 5% headroom),Summer
"52.319191606811444, 0.593237589430368",EPN-S0000000H1015,B21 ICKLINGHAM PRIMARY,0H1015,Icklingham Primary 11kV,6.9,9.6,20.29%,Green (Over 5% headroom),Summer
"52.05742544979157, 1.1109466038352542",EPN-S0000000H1024,D18 IPSWICH GRID,0H1024,Ipswich Grid 11kV,17.3,21.9,35.84%,Green (Over 5% headroom),Summer
"52.1034444915347, 1.5092810617738146",EPN-S0000000H1029,D33 ORFORD PRIMARY,0H1029,Orford Primary 11kV,4.8,5.8,50%,Green (Over 5% headroom),No Season of Constraint
"52.32170423194197, 0.8732958893658418",EPN-S0000000H1030,B25 STANTON PRIMARY,0H1030,Stanton Primary 11kV,17.3,22.9,49.71%,Green (Over 5% headroom),Summer
"52.09887958551119, 0.6976040706954678",EPN-S0000000H1035,B15 GLEMSFORD PRIMARY,0H1035,Glemsford Primary 11kV,10.8,13.4,56.48%,Green (Over 5% headroom),Summer
"52.116384273268984, 0.8799779490304448",EPN-S0000000H1037,B20 HITCHAM PRIMARY,0H1037,Hitcham Primary 11kV,14.6,14.6,35.62%,Green (Over 5% headroom),Winter
"52.326744878483304, 0.7665649823543037",EPN-S0000000H1046,B35 HONINGTON PRIMARY,0H1046,Honington Primary 11kV,4.8,4.8,50%,Green (Over 5% headroom),Winter
"52.069806278519444, 1.210988024069238",EPN-S0000000H1049,D15 ROUNDWOOD RD PRIMARY,0H1049,Roundwood Rd Primary 11kV,17.3,21.1,16.59%,Green (Over 5% headroom),Winter
"51.999259943262174, 1.1143800371328225",EPN-S0000000H1051,D35 TATTINGSTONE PRIMARY,0H1051,Tattingstone Primary 11kV,11.0,14.4,40.28%,Green (Over 5% headroom),Winter
"52.037403686048535, 1.1310878323819216",EPN-S0000000H1053,D24 GUSFORD HALL PRIMARY,0H1053,Gusford Hall Primary 11kV,16.6,22.1,41.57%,Green (Over 5% headroom),Summer
"52.04274961889873, 1.29825312349747",EPN-S0000000H1055,D39 MARTLESHAM PRIMARY,0H1055,Martlesham Primary 11kV,15.2,15.8,11.39%,Green (Over 5% headroom),Winter
"52.37293726319014, 0.7260755907325063",EPN-S0000000H1056,B57 THETFORD GRID,0H1056,Thetford Grid 11kV,7.2,7.2,34.72%,Green (Over 5% headroom),Winter
"52.11968269748201, 1.1148487187637244",EPN-S0000000H1059,D36 CLAYDON CEMENT PRIMARY,0H1059,Claydon Cement Primary 11kV,16.6,22.1,37.35%,Green (Over 5% headroom),Summer
